CharacterName,NameText,Pattern,Pivot,Scale,FileName
トコ,トコ,01_通常,Bottom,0.45,トコ_01_通常.png
,,02_笑顔,Bottom,0.45,トコ_02_笑顔.png
,,03_大笑い,Bottom,0.45,トコ_03_大笑い.png
,,04_困り,Bottom,0.45,トコ_04_困り.png
,,05_悲しい,Bottom,0.45,トコ_05_悲しい.png
,,06_泣き,Bottom,0.45,トコ_06_泣き.png
,,07_怒り,Bottom,0.45,トコ_07_怒り.png
,,08_驚き,Bottom,0.45,トコ_08_驚き.png
,,09_照れ,Bottom,0.45,トコ_09_照れ.png
,,10_真剣,Bottom,0.45,トコ_10_真剣.png
,,11_ジト目,Bottom,0.45,トコ_11_ジト目.png
,,12_ドヤ顔,Bottom,0.45,トコ_12_ドヤ顔.png
勇者,勇者,01_通常,Bottom,0.45,勇者_01_通常.png
,,02_笑顔,Bottom,0.45,勇者_02_笑顔.png
,,03_大笑い,Bottom,0.45,勇者_03_大笑い.png
,,04_困り,Bottom,0.45,勇者_04_困り.png
,,05_悲しい,Bottom,0.45,勇者_05_悲しい.png
,,06_泣き,Bottom,0.45,勇者_06_泣き.png
,,07_怒り,Bottom,0.45,勇者_07_怒り.png
,,08_驚き,Bottom,0.45,勇者_08_驚き.png
,,09_照れ,Bottom,0.45,勇者_09_照れ.png
,,10_真剣,Bottom,0.45,勇者_10_真剣.png
,,11_ジト目,Bottom,0.45,勇者_11_ジト目.png
,,12_ドヤ顔,Bottom,0.45,勇者_12_ドヤ顔.png
占い師,占い師,01_通常,Bottom,0.45,占い師_01_通常.png
,,02_笑顔,Bottom,0.45,占い師_02_笑顔.png
,,03_大笑い,Bottom,0.45,占い師_03_大笑い.png
,,04_困り,Bottom,0.45,占い師_04_困り.png
,,05_悲しい,Bottom,0.45,占い師_05_悲しい.png
,,06_泣き,Bottom,0.45,占い師_06_泣き.png
,,07_怒り,Bottom,0.45,占い師_07_怒り.png
,,08_驚き,Bottom,0.45,占い師_08_驚き.png
,,09_照れ,Bottom,0.45,占い師_09_照れ.png
,,10_真剣,Bottom,0.45,占い師_10_真剣.png
,,11_ジト目,Bottom,0.45,占い師_11_ジト目.png
,,12_ドヤ顔,Bottom,0.45,占い師_12_ドヤ顔.png
鍛冶屋,鍛冶屋,01_通常,Bottom,0.45,鍛冶屋_01_通常.png
,,02_笑顔,Bottom,0.45,鍛冶屋_02_笑顔.png
,,03_大笑い,Bottom,0.45,鍛冶屋_03_大笑い.png
,,04_困り,Bottom,0.45,鍛冶屋_04_困り.png
,,05_悲しい,Bottom,0.45,鍛冶屋_05_悲しい.png
,,06_泣き,Bottom,0.45,鍛冶屋_06_泣き.png
,,07_怒り,Bottom,0.45,鍛冶屋_07_怒り.png
,,08_驚き,Bottom,0.45,鍛冶屋_08_驚き.png
,,09_照れ,Bottom,0.45,鍛冶屋_09_照れ.png
,,10_真剣,Bottom,0.45,鍛冶屋_10_真剣.png
,,11_ジト目,Bottom,0.45,鍛冶屋_11_ジト目.png
,,12_ドヤ顔,Bottom,0.45,鍛冶屋_12_ドヤ顔.png
//以下の3キャラは表情差分が未作成のため、全パターンが同じ1枚絵を指す,,,,,
情報屋,情報屋,01_通常,Bottom,0.45,情報屋-背景透け.png
,,02_笑顔,Bottom,0.45,情報屋-背景透け.png
,,04_困り,Bottom,0.45,情報屋-背景透け.png
,,07_怒り,Bottom,0.45,情報屋-背景透け.png
,,10_真剣,Bottom,0.45,情報屋-背景透け.png
,,12_ドヤ顔,Bottom,0.45,情報屋-背景透け.png
道具屋,道具屋,01_通常,Bottom,0.45,道具屋-背景透け.png
,,02_笑顔,Bottom,0.45,道具屋-背景透け.png
,,04_困り,Bottom,0.45,道具屋-背景透け.png
,,07_怒り,Bottom,0.45,道具屋-背景透け.png
,,10_真剣,Bottom,0.45,道具屋-背景透け.png
,,12_ドヤ顔,Bottom,0.45,道具屋-背景透け.png
魔王,魔王,01_通常,Bottom,0.45,魔王-背景透け.png
,,02_笑顔,Bottom,0.45,魔王-背景透け.png
,,04_困り,Bottom,0.45,魔王-背景透け.png
,,07_怒り,Bottom,0.45,魔王-背景透け.png
,,10_真剣,Bottom,0.45,魔王-背景透け.png
,,12_ドヤ顔,Bottom,0.45,魔王-背景透け.png
