Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType
//『勇者』ボタンを初めて押したとき,,,,,,,,,,,
*Intro_Hero,,,,,,,,,,,
,勇者,02_笑顔,CharacterLayer,,,,,"……あんたが、最近俺の冒険を配信してる商人か？\n街のみんなが応援してくれてるみたいで、最高に楽しいぜ！",,,
,トコ,03_大笑い,CharacterLayer,,,,,"はい！　いつも勝手にお世話になってます！",,,
,勇者,01_通常,CharacterLayer,,,,,"そうか！　ちょうど良いや。実は次のダンジョン探索に向けて、装備や作戦を考えているんだが……なかなか決めきれなくてな。",,,
,トコ,03_大笑い,CharacterLayer,,,,,"それなら私にお任せを！\n勇者さまの装備や作戦、まるごとプロデュースさせてください！",,,
,トコ,12_ドヤ顔,CharacterLayer,,,,,"（あえてギリギリの装備で苦戦させれば、うちの商品の売り上げに影響するかも……フフフ。）",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//『魔王軍支援』ボタンを初めて押したとき,,,,,,,,,,,
*Intro_DemonLord,,,,,,,,,,,
,トコ,04_困り,CharacterLayer,,,,,"占い師さまに案内してもらって、魔王城まで来ちゃった……！　上手くいくかなあ。",,,
,魔王,01_通常,CharacterLayer,,,,,"……人間が、わざわざ我の城に何の用じゃ？",,,
,トコ,01_通常,CharacterLayer,,,,,"と、取引です！私の資金で魔王さまのダンジョンをもっと強化しませんか？",,,
,魔王,10_真剣,CharacterLayer,,,,,"……なるほど。我らが勇者を苦しめれば、回り回ってお主の利益になるというわけじゃな。",,,
,魔王,02_笑顔,CharacterLayer,,,,,"ふむ。随分とたくましいものじゃな。気に入ったぞ！\nダンジョンにゴールドを投じよ。その分、見返りの報酬をやろうぞ。",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//『占い師』ボタンを初めて押したとき,,,,,,,,,,,
*Intro_Prophet,,,,,,,,,,,
,占い師,02_笑顔,CharacterLayer,,,,,"よく来たね。ここでは、この町の流行をボクのタロットで占ってあげよう。",,,
,占い師,12_ドヤ顔,CharacterLayer,,,,,"今のトレンド武器、次に勇者が行くであろうダンジョン、そしてそこで役に立つ武器、全てね。",,,
,トコ,02_笑顔,CharacterLayer,,,,,"すごい！　この情報があれば、何が売れるか予測して仕入れができる……ってこと！？",,,
,占い師,01_通常,CharacterLayer,,,,,"そうだよ。どんな武器なのか、どこで役立つのか……情報を集めて、仕入れる商品を決めるんだ。",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//『情報屋』ボタンを初めて押したとき,,,,,,,,,,,
*Intro_InfoBroker,,,,,,,,,,,
,トコ,04_困り,CharacterLayer,,,,,"うぅ、なんだか薄暗くて怖い路地裏……。\nあなたが噂の情報屋さん？",,,
,情報屋,01_通常,CharacterLayer,,,,,"……そうだ。ダンジョンの情報を売っている。",,,
,情報屋,10_真剣,CharacterLayer,,,,,"そこで出現する魔物の属性や、今の勇者のクリア確率なんかが丸わかりだ……。",,,
,トコ,01_通常,CharacterLayer,,,,,"なるほど！ 魔物の属性が分かれば、それに有利な武器を的確に仕入れることができるんだね！",,,
,情報屋,02_笑顔,CharacterLayer,,,,,"ご名答。情報を制する者が市場を制する。……いつでも買いに来な。",,,
EndScenario,,,,,,,,,,,
