Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType
//スプレッドシートのイベント表から起こしたもの。ラベルは Event_<id> で統一,,,,,,,,,,,
//モブ（冒険者・貴族）はCharacterシート未登録のため名前欄のみ表示され立ち絵は出ない,,,,,,,,,,,
,,,,,,,,,,,
//001 記念硬貨の発見,,,,,,,,,,,
*Event_001,,,,,,,,,,,
,トコ,02_笑顔,CharacterLayer,,,,,"いち、に、さん……ふふ。今日も良い売り上げだね。",,,
,トコ,08_驚き,CharacterLayer,,,,,"ん？……これ、高値で取引されてる激レア記念硬貨じゃ！？",,,
,トコ,03_大笑い,CharacterLayer,,,,,"ラッキー！　臨時収入ゲットだね！",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//002 常連さんからのスパチャ！？,,,,,,,,,,,
//TODO 最後のトコのセリフがスプレッドシートで未記入,,,,,,,,,,,
*Event_002,,,,,,,,,,,
,冒険者,,CharacterLayer,,,,,"トコちゃん！　この間の剣、最高だったぜ！",,,
,冒険者,,CharacterLayer,,,,,"勇者様みたいに戦えたんだ！　少ないけど感謝の投げ銭だ！",,,
,トコ,03_大笑い,CharacterLayer,,,,,"ありがとうございます！　大事に使わせてもらいますね！",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//003 へそくり発見,,,,,,,,,,,
*Event_003,,,,,,,,,,,
,トコ,04_困り,CharacterLayer,,,,,"よいしょっと……倉庫の片付けも大変だなあ。あれ？",,,
,トコ,08_驚き,CharacterLayer,,,,,"革袋に金貨がぎっしり！？　これ父さんたちのへそくりだ！",,,
,トコ,12_ドヤ顔,CharacterLayer,,,,,"こ、これは……ありがたく使わせてもらうしかなーい！",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//004 ガラクタがオタカラに！？,,,,,,,,,,,
*Event_004,,,,,,,,,,,
,貴族,,CharacterLayer,,,,,"なんと……この剣、埃を被っているがなんて美しいフォルムなのだ……！",,,
,貴族,,CharacterLayer,,,,,"店主さん。ぜひこちらを価格の数十倍で買い取らせてくれたまえ！",,,
,トコ,08_驚き,CharacterLayer,,,,,"えー！は、はい……！　お買い上げありがとうございますー！",,,
,トコ,12_ドヤ顔,CharacterLayer,,,,,"あれ売れ残りだったんだけど……まあ、誰に刺さるかわからない、それがバズってやつだね！",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//005 幸運の噴水,,,,,,,,,,,
//TODO 最後のトコのセリフがスプレッドシートで未記入,,,,,,,,,,,
*Event_005,,,,,,,,,,,
,トコ,01_通常,CharacterLayer,,,,,"『薬草を供えると幸運が訪れる』という噂のある噴水に来てみたよ！",,,
,トコ,12_ドヤ顔,CharacterLayer,,,,,"そんな面白そうな噂、バズが潜んでいないわけないよね！　ということでそれっと。",,,
,,,,,,,,"翌日",,,
,トコ,03_大笑い,CharacterLayer,,,,,"わっ、本当に良いことがあった！　噂って侮れないなあ！",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//006 モニター協力？,,,,,,,,,,,
*Event_006,,,,,,,,,,,
,鍛冶屋,01_通常,CharacterLayer,,,,,"トコ、この武器を試しに店に置いてくれないか？　お客の反応が聞きたいんだ。",,,
,トコ,08_驚き,CharacterLayer,,,,,"これって新作！？　もちろんだよ！",,,
,,,,,,,,"翌日",,,
,トコ,02_笑顔,CharacterLayer,,,,,"はい、お客さんの反応と感想をまとめてきたよ！",,,
,鍛冶屋,03_大笑い,CharacterLayer,,,,,"おお！　細かいところまで書いてあるな。助かった、トコ。　これは礼金だ。",,,
,トコ,03_大笑い,CharacterLayer,,,,,"最先端のバズに触れるなら本望だよ！",,,
EndScenario,,,,,,,,,,,
