Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType
//イベントチュートリアル　初めての配信から2ターン後,,,,,,,,,,,
*TurnEvent_EventTutorial,,,,,,,,,,,
,トコ,03_大笑い,CharacterLayer,,,,,"こんなこともあるんだね！",,,
,占い師,02_笑顔,CharacterLayer,,,,,"商売には予測不可能なイベントもつきものだ。\n今後、お金だけでなく信頼度も変化するだろう。対策をしておくんだよ。",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//バズのチュートリアル　初めての配信から5ターン後,,,,,,,,,,,
*TurnEvent_BuzzTutorial,,,,,,,,,,,
,トコ,08_驚き,CharacterLayer,,,,,"わっ！　え、なに？　お客さんが一気に押し寄せてる！？",,,
,占い師,12_ドヤ顔,CharacterLayer,,,,,"ふふ。これが『バズ』だよ。",,,
,占い師,10_真剣,CharacterLayer,,,,,"……もっとも、今のはまだ小さな波だけれどね。",,,
,占い師,02_笑顔,CharacterLayer,,,,,"本当に大きなバズ＿＿超バズが来たら\n……もっと面白いことになる。楽しみにしているといいよ。",,,
EndScenario,,,,,,,,,,,
