Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType
//ゲーム開始直後,,,,,,,,,,,
*Tutorial_Opening,,,,,,,,,,,
,トコ,01_通常,CharacterLayer,,,,,"私はトコ！　流行がすべての国『トムトムランド』で新米商人をしてるんだ！",,,
,トコ,02_笑顔,CharacterLayer,,,,,"だけど、父さんと母さんからこのお店を継いで一日目……",,,
,トコ,08_驚き,CharacterLayer,,,,,"並んでる商品がどれも時代遅れ！\nトレンドから完全に取り残されてるよー。",,,
,トコ,08_驚き,CharacterLayer,,,,,"このままじゃ、お店が潰れちゃう！",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//通常営業チュートリアル　鍛冶屋へ誘導するまで,,,,,,,,,,,
*Tutorial_ShopBasics,,,,,,,,,,,
,トコ,01_通常,CharacterLayer,,,,,"まずは基本から！　自分で新しい商品を仕入れて、お店に並べてみよう！",,,
,トコ,01_通常,CharacterLayer,,,,,"最初は鍛冶屋に行って商品を調達しないとだね。",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//鍛冶屋に入ったとき,,,,,,,,,,,
*Tutorial_Blacksmith,,,,,,,,,,,
,鍛冶屋,01_通常,CharacterLayer,,,,,"ああ。トコか。",,,
,トコ,01_通常,CharacterLayer,,,,,"こんにちは！　鍛冶屋さん！",,,
,鍛冶屋,10_真剣,CharacterLayer,,,,,"仕入れだな。商品を選んで数を指定して『仕入れる』んだ。",,,
,鍛冶屋,02_笑顔,CharacterLayer,,,,,"もし選びに困ったら、『オート購入』を使うと良い。\nオレがおすすめの品を見繕ってやるよ。",,,
,トコ,03_大笑い,CharacterLayer,,,,,"本当！？　助かるよ！　じゃあ早速試してみようっと！",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//仕入れを終えて店に戻ったとき,,,,,,,,,,,
*Tutorial_AfterProcurement,,,,,,,,,,,
,トコ,01_通常,CharacterLayer,,,,,"仕入れが完了したよ！　それじゃあ『次へ』を押して陳列に進もう。",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//商品陳列フェーズに入ったとき,,,,,,,,,,,
*Tutorial_Display,,,,,,,,,,,
,トコ,12_ドヤ顔,CharacterLayer,,,,,"『商品陳列』でさっき買った商品を陳列していこう！\n『オート陳列』で私がサクッと並べちゃうからね！",,,
,トコ,01_通常,CharacterLayer,,,,,"アイテムアイコンをクリックすると商品の詳細を見ることができるよ。\n商品の陳列が完了したら、『次へ』から営業開始しよう！",,,
EndScenario,,,,,,,,,,,
,,,,,,,,,,,
//占い師との出会い　起動から2ターン目,,,,,,,,,,,
*Tutorial_ProphetMeeting,,,,,,,,,,,
,トコ,04_困り,CharacterLayer,,,,,"ふぅ……なんとか少しは売れたけど……",,,
,トコ,04_困り,CharacterLayer,,,,,"地道に稼ぐのも大事だけど、なんかこう……刺激が足りない！",,,
