key	value	type
weaponPriceUpOnHit	1.1	float
weaponPriceDownOnNonKill	0.95	float
armorPriceDownOnHit	0.98	float
armorPriceUpOnBlock	1.05	float
effectiveAttributeRate	1.1	float
weakAttributeRate	1	int
priceFloorRate	0.2	float
priceCeilingRate	10	int
initialHeat	30	int
heatTurnDecay	5	int
coldTierMax	25	int
normalTierMax	50	int
hotTierMax	75	int
coldPriceMultiplier	0.9	float
normalPriceMultiplier	1	int
hotPriceMultiplier	1.1	float
superHotPriceMultiplier	1.2	float
demandEffectiveAttributeUp	0.2	float
demandWeakAttributeDown	0.1	float
buzzBonus2Turn	0.05	float
buzzBonus3PlusTurn	0.1	float
unsoldPenalty	0.08	float
highPriceThreshold	2	int
lowPriceThreshold	0.5	float
highPriceDemandDecay	0.92	float
lowPriceDemandGrowth	1.08	float
