id	title	description	command1	param1Key1	param1Value1	command2	param2Key1	param2Value1
001	記念硬貨の発見	「今日も良いバズが見れたなー！」と言いながら、トコは閉店後のカウンターで売上金を数えていた。その時、キラリと光る見慣れない硬貨が一つ。それはなんと、古い時代に発行されていた希少な記念硬貨だった！コレクターの間では高値で取引されているらしい。ちょっとした臨時収入に、ラッキー！	ChangeMoney	amount	30000			
002	常連さんからのスパチャ！？	閉店間際、いつもの常連冒険者が、興奮冷めやらぬ様子で駆け込んできた。「トコちゃん、聞いてくれよ！この間の剣、最高だったぜ！勇者様みたいにバッサバッサと魔物を倒せたんだ！これは、感謝の投げ銭だ！」そう言って、彼は普段より多めに金貨を置いていった。	ChangeMoney	amount	3000			
003	へそくり発見	トコは店の倉庫を掃除していた。年季の入ったタンスを動かしたその時、裏から古びた革袋が転がり出てきた。中には、ぎっしり詰められた金貨が！どうやら、トコの両親がこっそり隠していたへそくりだったらしい。	ChangeMoney	amount	30000			
004	ガラクタが芸術品に！？	ある日、場違いなほど豪華な身なりの貴族がふらりと来店。最新のトレンド装備には目もくれず、店の隅でホコリをかぶっていた売れ残りの装飾剣を手に取った。なんでも、その独特なフォルムが芸術的感性に突き刺さったらしく、言い値の数十倍もの金貨を置いていった。誰にとってのバズかは、分からないものだ。	ChangeMoney	amount	50000			
005	ダメ元のおまじない	冒険者の間で「街の噴水に珍しい薬草を供えると、幸運が訪れる」という真偽不明の噂が流れていた。多くの者が無視する中、トコは「これも何かのバズの予兆かも」と、軽い気持ちで試してみることに。翌朝、薬草は消え、代わりに金貨が数枚置かれていた。どうやら、人嫌いの魔法使いが人知れず材料を集める方法だったらしい。	ChangeMoney	amount	3000			
006	モニター協力してみた	街の魔道具工房が、開発中の新作アイテムのテストユーザーを探していた。「トレンドに敏感な人にぜひ」と、トコに白羽の矢が立つ。一週間アイテムを感想を使ったレポートにまとめると、「メリット、デメリットが事細かでとても参考になった。」と礼金をもらった。最先端に関わるのも、立派なビジネスなのだ。	ChangeMoney	amount	100000			
007	闘技場のスター選手を輩出！	まだ​無名だった​闘技場の​​選手が​見事に​トーナメントで​優勝！​彼は​インタビューで​「この​勝利は、​トムトムランドの​トコさんの​売っている武器のおかげだ！」と​涙ながらに​語った。​店の​評判が​大きく​上がった。​	ChangeTrust	amount	Trust			
008	騎士団からの感謝状	トコが​販売している​​防具の​おかげで、​騎士団が​誰も​重傷者を​出すことなく、​強力な​ドラゴンの​討伐に​成功したらしい。​後日、​騎士団長自らが​店を​訪れ、​王家の​名の​下に​特別な​感謝状と​勲章を​授与してくれた。​	ChangeTrust	amount	Trust			
009	商人ギルドの模範店に認定！	トコの​誠実かつ​革新的な​商売スタイルが、​保守的な​商人ギルドの​重鎮たちの​心を​動かした。​「これからの​時代の​商人の​あるべき姿だ」と​絶賛され、​ギルドが​全ての​商人に​推奨する​「模範店」と​して​認定された。​	ChangeTrust	amount	Trust			
010	中央広場の管理費支払い	中央​広場の​管理人から​「いつも​君の​配信の​おかげで​広場は​賑わっているが、​その分、​警備や​清掃の​費用も​馬鹿に​ならんのだ。​今後も​ここで​配信を​続けたいなら、​会場の​管理費を​支払って​もら​おうか」と​請求される。​	ChangeTrust	amount	Trust			
011	大聖堂の再建プロジェクト	先日、魔物の​襲撃で、​町の​大聖堂が​半壊してしまった。​司教から​「聖堂は​民の​心の​支え。​この​再建に​最も​貢献してくださった方を、​神の​名の​下に​『聖人』と​して​祝福しましょう」と、​多額の​寄付を​募られる。​	ChangeTrust	amount	Trust			
012	冒険者ギルドへの投資	ギルドマスターから​「有望な​若手を​育てる​ための​訓練施設を​新設したい。​もし、​建設費用を​投資してくれる​なら、​君の​店を​『ギルド公認の​優良武具店』と​して​全ギルドメンバーに​推薦しよう」と​持ちかけられる。​	ChangeTrust	amount	Trust			
013	酒場のマスターへの援助	酒場の​マスターが​「最近、​質の​悪い客に​絡まれて、​店の​備品を​壊されて​困っているんだ…。​修理代を​少し​援助してくれたら、​うちの​店で​君の​お店の​宣伝を​してあげるよ」と​相談してくる。​	ChangeTrust	amount	Trust			
