id	relicName	description	rarity	isCurse	mod1Stat	mod1Op	mod1Value	mod2Stat	mod2Op	mod2Value	beh1Key	beh1Param
relic_allin_dice	命知らずのサイコロ	約定値幅が±35%広がるが、借金取りも強気になる（返済額+10%）。	1	true	11	0	0.35	2	1	1.1		
relic_blueprint	職人の設計図	無駄のない工程表。製造機の毎朝の製造予算+500G。	1	false	12	0	500					
relic_charisma	生まれつきの華	何をしても絵になる。バズ発生率+12%、営業売上+5%。	2	false	5	0	12	0	1	1.05		
relic_charm	商売繁盛のお守り	客足が途絶えない不思議なお守り。全商品の需要下限+8%。	1	false	1	0	0.08					
relic_collector_secret	借金取りの弱み	先方の帳簿の穴を知っている。返済額-10%。	1	false	2	1	0.9					
relic_compound_tome	複利の教本	利息は雪だるま式に。債券利息+50%。	1	false	10	1	1.5					
relic_cursed_ledger	呪われた帳簿	売上は跳ねるが、借金取りも張り切る。営業売上+30%、返済額+20%。	1	true	0	1	1.3	2	1	1.2		
relic_demon_banner	魔王軍の軍旗	店先に掲げると勇者の士気が下がる。防衛報酬+30%、勇者の強さ-15%。	2	false	7	1	1.3	8	1	0.85		
relic_demon_pact	魔王の密約	魔王軍との裏取引。ダンジョン防衛報酬+50%。	1	false	7	1	1.5					
relic_dept_creed	百貨店の理念	「並べたものは売れる」。同時陳列+3、営業売上+5%。	2	false	3	0	3	0	1	1.05		
relic_display_manual	大陳列マニュアル	什器の魔術。同時陳列できる銘柄+2。	1	false	3	0	2					
relic_dividend_book	配当王の手帳	配当銘柄の目利き。配当収入+50%。	1	false	6	1	1.5					
relic_fairy_coin	妖精のコイン	良いことが起きやすい気がする。イベントで得る金額+50%。	0	false	9	1	1.5					
relic_furnace_core	魔導炉心	炉が眠らない。製造機の毎朝の製造予算+1,200G。	2	false	12	0	1200					
relic_gossip_notes	話題のネタ帳	配信ネタが尽きない。バズ発生率+5%。	0	false	5	0	5					
relic_guild_license	商人ギルドの証	正会員だけの卸値。仕入れ価格-15%。	2	false	4	1	0.85					
relic_piggy	子豚の貯金箱	振ると毎朝100Gが出てくる。どういう仕組みだ？	0	false							dailyGold	100
relic_seal	ギルドの減免状	ギルドとの特別契約。借金の返済額-20%。	2	false	2	1	0.8					
relic_showcase	折りたたみ陳列棚	持ち運べる小さな棚。同時陳列できる銘柄+1。	0	false	3	0	1					
relic_signboard	手描きの看板	心のこもった看板。営業売上+10%。	0	false	0	1	1.1					
relic_star_chart	星詠みの札	運命を味方につける。イベントで得る金額が2倍。	2	false	9	1	2					
relic_trader_creed	相場師の心得	約定値幅が±15%広がる。上振れも下振れも大きくなる。	1	false	11	0	0.15					
relic_wholesaler_pass	問屋の顔パス	顔なじみの問屋割引。仕入れ価格-5%。	0	false	4	1	0.95					
