key	value	type
highDemandThreshold	0.7	float
highDemandPriceRateMin	1.1	float
highDemandPriceRateMax	1.3	float
lowDemandThreshold	0.3	float
lowDemandPriceRateMin	0.7	float
lowDemandPriceRateMax	0.9	float
normalDemandPriceRateMin	0.95	float
normalDemandPriceRateMax	1.05	float
shopPriceFloorRate	0.3	float
shopPriceCeilingRate	3	int
victoryAttributeDemandUp	0.15	float
defeatAttributeDemandDown	0.15	float
displayDemandUp	0.03	float
notDisplayDemandDown	0	int
demandFloor	0.05	float
demandCeiling	1	int
trustFloorBoost	0.4	float
attentionPriceAmplify	0.5	float
attentionAffectsLowDemand	0	bool
spreadDemandAmplify	1	int
retentionStabilizer	0.6	float
followerWeight	0.1	float
followerScale	1000	int
trendAmplitude	0.3	float
trendConvergenceRate	0.15	float
trendDriftMax	0.12	float
trendDecayRate	0.1	float
