id	facilityName	requiredHallLevel	level	cost	effectText
hall	領主館	0	1	4000	全施設の Lv2 への拡張を解禁
hall	領主館	0	2	18000	全施設の Lv3 への拡張と、祠の建設を解禁
hall	領主館	0	3	40000	産業の土地スロット +1（産業投資は今後実装）
guild	冒険者ギルド	0	1	4000	レリック Tier1（5種）が報酬の抽選に加わる
guild	冒険者ギルド	0	2	10000	レリック Tier2（4種）が加わる
guild	冒険者ギルド	0	3	20000	レリック Tier3（4種）が加わる
antique	骨董品店	0	1	5000	スターターレリックの候補に Rare が並ぶ
antique	骨董品店	0	2	13000	レリック3択を辞退したときの買取額 +50%
shrine	祠	2	1	12000	レリック報酬の選択肢が 3 → 4 になる
bank	銀行	0	1	5000	借入枠の最終段階（20,000G）の拡張を解放
bank	銀行	0	2	12000	借入の利息 50% → 45%
bank	銀行	0	3	22000	借入の利息 45% → 40%
warehouse	倉庫	0	1	6000	持ち込み枠 +1（計3）
warehouse	倉庫	0	2	14000	持ち込み枠 +1（計4）
warehouse	倉庫	0	3	24000	持ち込み枠 +1（計5）
road	街道整備	0	1	2000	ラン開始時の初期資金 +1,000G
road	街道整備	0	2	6000	初期資金 さらに +1,000G（計+2,000G）
road	街道整備	0	3	13000	初期資金 さらに +1,000G（計+3,000G）
press	印刷所	0	1	4000	開始時フォロワー +500・注目 +10
press	印刷所	0	2	9000	さらにフォロワー +500・注目 +10（計+1,000/+20）
artisan	職人組合	0	1	7000	ラン開始時から鍛冶屋 Lv2
artisan	職人組合	0	2	16000	鍛冶屋の開発費 -15%
tavern	酒場（情報局）	0	1	7000	ラン開始時から情報屋 Lv2（金融商品が最初から使える）
tavern	酒場（情報局）	0	2	16000	取引所の売買手数料 -1%
workshop	工房区画	0	1	6000	マシン設置枠 +1
workshop	工房区画	0	2	15000	マシンの購入費 -15%
farm	農場	0	1	3000	毎朝 +50G（朝レポート「村からの収穫」）
farm	農場	0	2	7000	毎朝 +100G
farm	農場	0	3	14000	毎朝 +150G
training	訓練所	0	1	5000	配信の売上 +5%
training	訓練所	0	2	12000	配信の売上 +10%
