itemId	itemName	basePrice	initialStock	maxStock	initialDisplayStock	itemType	itemAttribute	requiredLevel	salesRate	description
AR1	岩石の鎧	700	0	99	0	Armor	Earth	1	1.0	岩のような硬度を持つ鎧。水属性の攻撃を弾き返す密度が冒険者に支持されている。
AR2	水流の鎧	1000	0	99	0	Armor	Water	2	1.0	熱を瞬時に冷却する素材でできた鎧。火属性ダメージをほぼ無効化する炎地帯の定番装備。
AR3	疾風の鎧	1500	0	99	0	Armor	Wind	3	1.0	気流を操る構造の流線型アーマー。土属性の攻撃を風で受け流す、動きを妨げない一着。
AR4	大地の重鎧	2000	0	99	0	Armor	Earth	4	1	大地の力を凝縮した超重量級の鎧。水属性の強攻撃すら完全に封じ込める究極の防御。  
AR5	炎のたすき	500	0	99	0	Armor	Fire	3	1	炎をまとったたすき。風属性の攻撃を熱で焼き払う、軽量ながら侮れない一品。
AR6	炎のベルト	500	0	99	0	Armor	Fire	1	1	炎の力が宿るシンプルなベルト。風属性への耐性が地味に助かる場面がある。
AR7	聖光の鎧	600	0	99	0	Armor	Light	1	1.0	聖なる光の加護が宿る鎧。闇属性ダメージをやわらかく受け止める、信仰系冒険者に人気の一品。
AR8	神聖の重鎧	3000	0	99	0	Armor	Light	5	1.0	純粋な光を結晶化した最高峰の鎧。闇属性への圧倒的な耐性で光属性使いの冒険者から絶大な支持を得ている。
AX1	岩砕きの斧	500	0	99	0	Weapon	Earth	1	1.0	地面を割るほどの重い一撃。岩肌のような無骨なデザインは「漢（おとこ）の武器」としてコアな層に人気。
BO1	疾風の弓	500	0	99	0	Weapon	Wind	1	1.0	風の力で矢速を加速させる。エイムが甘くても風が補正してくれるため、初心者に最適。
HA1	大地のハンマー	500	0	99	0	Weapon	Earth	1	1.0	叩いた衝撃で地面が揺れる。派手な土煙が舞い上がり、その爽快感がクセになると評判。
HE1	岩石の兜	500	0	99	0	Armor	Earth	1	1.0	岩石を削り出した基本ヘルメット。水属性ダメージをがっちりガードする頑丈さで初心者から支持を集める。
HE2	炎の兜	700	0	99	0	Armor	Fire	2	1.0	風属性の攻撃を受け止める兜。装備すると炎のような闘志が湧いてくると評判。
HE3	暗黒の兜	500	0	99	0	Armor	Dark	1	1.0	光属性ダメージを受け流すダークな兜。ミステリアスな外見が闇系冒険者に刺さる。
HE4	業火の兜	1500	0	99	0	Armor	Fire	3	1.0	高火力の風属性攻撃に耐える強化素材。風が吹き荒れる地帯での生存率が段違い。
HE5	深淵の兜	2000	0	99	0	Armor	Dark	3	1.0	光属性の攻撃を受け流す兜。闇への高い耐性と禍々しいオーラが両立している。
HE6	聖光の兜	1500	0	99	0	Armor	Light	3	1.0	聖なる加護が宿る兜。闇属性への耐性と見た目の神々しさが映える。
HE7	水流の兜	500	0	99	0	Armor	Water	1	1.0	火属性ダメージを受け流すアクアヘルム。炎地帯でも冷静に戦える頼れる一品。
HE8	疾風の兜	1800	0	99	0	Armor	Wind	4	1.0	土属性攻撃を受け流す空力設計の兜。土属性への耐性がありながら動きを妨げない。
HE9	神聖の兜	2000	0	99	0	Armor	Light	5	1.0	闇属性防御の最高峰ヘルメット。神々しい輝きに一目惚れする冒険者が後を絶たない。
SH1	聖光の盾	500	0	99	0	Weapon	Light	1	1.0	闇属性の攻撃を弾き返す盾。防いだ時に放つ閃光の美しさが冒険者の間で話題になっている。
SP1	疾風の槍	500	0	99	0	Weapon	Wind	1	1.0	突風を巻き起こす槍。敵を吹き飛ばせるので、ソーシャルディスタンスを保ちたい慎重派勇者に売れる。
SW1	風切りの剣	500	0	99	0	Weapon	Wind	1	1.0	振るたびに風切り音が鳴る剣。爽快な斬撃音が戦闘のテンションを上げてくれる
SW2	水流の剣	600	0	99	0	Weapon	Water	2	1.0	刀身に水流が走る剣。冷却効果で連続攻撃しても熱くならない、スタミナ重視の冒険者に人気。
SW3	炎の剣	700	0	99	0	Weapon	Fire	3	1.0	刀身が激しく燃え盛る剣。振り下ろすたびに火花が散り、一撃の重さが伝わってくる。
SW4	聖光の剣	800	0	99	0	Weapon	Light	4	1.0	聖なる光を放つ剣。闇属性の敵に対して特に刺さる、ボス級の敵の切り札として人気。
SW5	深淵の魔剣	1000	0	99	0	Weapon	Dark	5	1.0	黒いオーラを纏う魔剣。光属性の敵を沈める圧倒的な闇の力に、一目惚れする冒険者が続出。
SW6	真空の剣	800	0	99	0	Weapon	Wind	4	1.0	真空の刃を飛ばす剣。遠距離攻撃も近距離攻撃もできるため、玄人冒険者の心を掴んでいる。
WA1	水流の杖	500	0	99	0	Weapon	Water	1	1.0	水を自在に操る初心者向けの杖。火属性の敵に抜群の効果を発揮し、操作感の軽さも好評。
